tu	gene
TU2PN3-14466	SGL_RS13490
TU2PN3-13785	SGL_RS08780
TU2PN3-13785	SGL_RS08775
TU2PN3-12894	SGL_RS02705
TU2PN3-12894	SGL_RS02700
TU2PN3-12894	SGL_RS02695
TU2PN3-12894	SGL_RS02690
TU2PN3-12894	SGL_RS02685
TU2PN3-12894	SGL_RS02680
TU2PN3-12894	SGL_RS02675
TU2PN3-12894	SGL_RS02670
TU2PN3-13917	SGL_RS09710
TU2PN3-13917	SGL_RS09705
TU2PN3-13289	SGL_RS05295
TU2PN3-14279	SGL_RS12265
TU2PN3-14279	SGL_RS12260
TU2PN3-14279	SGL_RS12255
TU2PN3-14977	SGL_RS17065
TU2PN3-15246	SGL_RS05685
TU2PN3-13678	SGL_RS08035
TU2PN3-13551	SGL_RS07090
TU2PN3-14699	SGL_RS15100
TU2PN3-13545	SGL_RS07055
TU2PN3-15530	SGL_RS15560
TU2PN3-14660	SGL_RS14860
TU2PN3-14438	SGL_RS13315
TU2PN3-12913	SGL_RS02825
TU2PN3-12973	SGL_RS03190
TU2PN3-12973	SGL_RS03185
TU2PN3-14837	SGL_RS16005
TU2PN3-13087	SGL_RS03975
TU2PN3-12939	SGL_RS02995
TU2PN3-15573	SGL_RS17390
TU2PN3-14612	SGL_RS14530
TU2PN3-12740	SGL_RS00945
TU2PN3-12740	SGL_RS00940
TU2PN3-12740	SGL_RS00935
TU2PN3-12740	SGL_RS00930
TU2PN3-12740	SGL_RS00925
TU2PN3-12740	SGL_RS00920
TU2PN3-12742	SGL_RS00970
TU2PN3-12742	SGL_RS00965
TU2PN3-12747	SGL_RS01000
TU2PN3-12712	SGL_RS00680
TU2PN3-12712	SGL_RS00675
TU2PN3-12714	SGL_RS00710
TU2PN3-12714	SGL_RS00705
TU2PN3-12714	SGL_RS00700
TU2PN3-12714	SGL_RS00695
TU2PN3-12714	SGL_RS00690
TU2PN3-12774	SGL_RS00950
TU2PN3-12745	SGL_RS00985
TU2PN3-12713	SGL_RS00685
TU2PN3-14815	SGL_RS15880
TU2PN3-15354	SGL_RS10015
TU2PN3-14455	SGL_RS13415
TU2PN3-13453	SGL_RS06435
TU2PN3-14600	SGL_RS14445
TU2PN3-14600	SGL_RS14440
TU2PN3-14600	SGL_RS14435
TU2PN3-14600	SGL_RS14430
TU2PN3-14599	SGL_RS14425
TU2PN3-13554	SGL_RS07105
TU2PN3-14904	SGL_RS16520
TU2PN3-13971	SGL_RS10110
TU2PN3-15578	SGL_RS17605
TU2PN3-15050	SGL_RS17580
TU2PN3-15097	SGL_RS17930
TU2PN3-15096	SGL_RS17925
TU2PN3-14562	SGL_RS14170
TU2PN3-14562	SGL_RS14165
TU2PN3-14562	SGL_RS14160
TU2PN3-15016	SGL_RS17345
TU2PN3-13011	SGL_RS03435
TU2PN3-12924	SGL_RS02890
TU2PN3-12923	SGL_RS02885
TU2PN3-13437	SGL_RS06350
TU2PN3-13438	SGL_RS06355
TU2PN3-12922	SGL_RS02880
TU2PN3-12921	SGL_RS02875
TU2PN3-12921	SGL_RS02870
TU2PN3-14503	SGL_RS13740
TU2PN3-14341	SGL_RS12690
TU2PN3-15359	SGL_RS10160
TU2PN3-14931	SGL_RS16705
TU2PN3-14931	SGL_RS16700
TU2PN3-15486	SGL_RS13990
TU2PN3-13555	SGL_RS07110
TU2PN3-14714	SGL_RS15235
TU2PN3-14714	SGL_RS15230
TU2PN3-13255	SGL_RS05075
TU2PN3-14394	SGL_RS13030
TU2PN3-12932	SGL_RS02940
TU2PN3-14652	SGL_RS14820
TU2PN3-14525	SGL_RS13885
TU2PN3-13132	SGL_RS04275
TU2PN3-13230	SGL_RS04915
TU2PN3-15059	SGL_RS17655
TU2PN3-14918	SGL_RS16615
TU2PN3-14918	SGL_RS16610
TU2PN3-15060	SGL_RS17660
TU2PN3-15060	SGL_RS19135
TU2PN3-14103	SGL_RS11020
TU2PN3-12593	SGL_RS00170
TU2PN3-13990	SGL_RS10275
TU2PN3-15386	SGL_RS11140
TU2PN3-14615	SGL_RS14550
TU2PN3-13330	SGL_RS05600
TU2PN3-13697	SGL_RS08175
TU2PN3-13697	SGL_RS08170
TU2PN3-14267	SGL_RS12195
TU2PN3-14267	SGL_RS12190
TU2PN3-15401	SGL_RS11615
TU2PN3-14447	SGL_RS13375
TU2PN3-14937	SGL_RS16735
TU2PN3-14956	SGL_RS16910
TU2PN3-14956	SGL_RS16905
TU2PN3-14273	SGL_RS12230
TU2PN3-14272	SGL_RS12225
TU2PN3-15397	SGL_RS11475
TU2PN3-15287	SGL_RS07585
TU2PN3-14911	SGL_RS16585
TU2PN3-14911	SGL_RS16580
TU2PN3-14911	SGL_RS16575
TU2PN3-14911	SGL_RS16570
TU2PN3-14911	SGL_RS16565
TU2PN3-15547	SGL_RS16560
TU2PN3-12755	SGL_RS01050
TU2PN3-12754	SGL_RS01045
TU2PN3-12753	SGL_RS01035
TU2PN3-12752	SGL_RS01030
TU2PN3-12751	SGL_RS01025
TU2PN3-16183	SGL_RS08945
TU2PN3-13806	SGL_RS08950
TU2PN3-13806	SGL_RS08945
TU2PN3-14713	SGL_RS15225
TU2PN3-14961	SGL_RS16940
TU2PN3-15537	SGL_RS16080
TU2PN3-15538	SGL_RS16085
TU2PN3-13936	SGL_RS09870
TU2PN3-14604	SGL_RS14480
TU2PN3-14355	SGL_RS12770
TU2PN3-13447	SGL_RS06405
TU2PN3-15290	SGL_RS07635
TU2PN3-13009	SGL_RS03425
TU2PN3-14795	SGL_RS15745
TU2PN3-12876	SGL_RS02505
TU2PN3-15331	SGL_RS08905
TU2PN3-14775	SGL_RS15625
TU2PN3-14775	SGL_RS15620
TU2PN3-13118	SGL_RS04185
TU2PN3-13118	SGL_RS04180
TU2PN3-14474	SGL_RS13535
TU2PN3-15494	SGL_RS14280
TU2PN3-14741	SGL_RS15425
TU2PN3-15263	SGL_RS06770
TU2PN3-13270	SGL_RS05185
TU2PN3-13270	SGL_RS05180
TU2PN3-13270	SGL_RS05175
TU2PN3-12968	SGL_RS03160
TU2PN3-14623	SGL_RS14595
TU2PN3-14623	SGL_RS14590
TU2PN3-13194	SGL_RS04705
TU2PN3-14651	SGL_RS14815
TU2PN3-12514	SGL_RS01570
TU2PN3-12514	SGL_RS01565
TU2PN3-12514	SGL_RS01560
TU2PN3-14848	SGL_RS16105
TU2PN3-14848	SGL_RS16115
TU2PN3-14848	SGL_RS16110
TU2PN3-14874	SGL_RS16275
TU2PN3-14930	SGL_RS16695
TU2PN3-15295	SGL_RS07685
TU2PN3-13281	SGL_RS05230
TU2PN3-13281	SGL_RS05235
TU2PN3-13281	SGL_RS05240
TU2PN3-13281	SGL_RS05250
TU2PN3-13281	SGL_RS05245
TU2PN3-13621	SGL_RS07605
TU2PN3-12839	SGL_RS02260
TU2PN3-13187	SGL_RS04660
TU2PN3-15053	SGL_RS17600
TU2PN3-14737	SGL_RS15405
TU2PN3-13186	SGL_RS04655
TU2PN3-14196	SGL_RS11675
TU2PN3-13698	SGL_RS08180
TU2PN3-14546	SGL_RS14035
TU2PN3-14546	SGL_RS14030
TU2PN3-15523	SGL_RS15220
TU2PN3-13765	SGL_RS08660
TU2PN3-13765	SGL_RS08655
TU2PN3-12988	SGL_RS03290
TU2PN3-12988	SGL_RS03285
TU2PN3-14727	SGL_RS15320
TU2PN3-13733	SGL_RS08445
TU2PN3-12867	SGL_RS02445
TU2PN3-14907	SGL_RS16540
TU2PN3-14729	SGL_RS15345
TU2PN3-13732	SGL_RS08440
TU2PN3-14151	SGL_RS11335
TU2PN3-14151	SGL_RS11330
TU2PN3-15255	SGL_RS06460
TU2PN3-14263	SGL_RS12160
TU2PN3-13797	SGL_RS08895
TU2PN3-13934	SGL_RS09860
TU2PN3-13136	SGL_RS04295
TU2PN3-14015	SGL_RS10425
TU2PN3-14015	SGL_RS10420
TU2PN3-13082	SGL_RS03940
TU2PN3-14823	SGL_RS15920
TU2PN3-12739	SGL_RS00915
TU2PN3-12756	SGL_RS01065
TU2PN3-12756	SGL_RS01060
TU2PN3-12756	SGL_RS01055
TU2PN3-12741	SGL_RS00960
TU2PN3-12741	SGL_RS00955
TU2PN3-14307	SGL_RS12475
TU2PN3-13982	SGL_RS10195
TU2PN3-13322	SGL_RS05550
TU2PN3-13322	SGL_RS05545
TU2PN3-13322	SGL_RS05540
TU2PN3-13935	SGL_RS09865
TU2PN3-13828	SGL_RS09075
TU2PN3-13829	SGL_RS09080
TU2PN3-14454	SGL_RS13410
TU2PN3-15187	SGL_RS02655
TU2PN3-13482	SGL_RS06625
TU2PN3-14134	SGL_RS11220
TU2PN3-12991	SGL_RS03310
TU2PN3-12991	SGL_RS03305
TU2PN3-13428	SGL_RS06280
TU2PN3-14548	SGL_RS14075
TU2PN3-13759	SGL_RS08610
TU2PN3-13759	SGL_RS08605
TU2PN3-13078	SGL_RS03900
TU2PN3-13078	SGL_RS03895
TU2PN3-14712	SGL_RS15210
TU2PN3-13245	SGL_RS05015
TU2PN3-13245	SGL_RS05010
TU2PN3-14648	SGL_RS14785
TU2PN3-14648	SGL_RS14780
TU2PN3-13069	SGL_RS03840
TU2PN3-13972	SGL_RS10115
TU2PN3-12950	SGL_RS03060
TU2PN3-13441	SGL_RS06370
TU2PN3-12848	SGL_RS02310
TU2PN3-14169	SGL_RS11450
TU2PN3-13975	SGL_RS10145
TU2PN3-14588	SGL_RS14350
TU2PN3-14588	SGL_RS14345
TU2PN3-14958	SGL_RS16925
TU2PN3-12829	SGL_RS02200
TU2PN3-15093	SGL_RS17890
TU2PN3-14747	SGL_RS15455
TU2PN3-13958	SGL_RS10020
TU2PN3-15572	SGL_RS17385
TU2PN3-13618	SGL_RS07575
TU2PN3-14124	SGL_RS11135
TU2PN3-12810	SGL_RS02045
TU2PN3-12809	SGL_RS02040
TU2PN3-12809	SGL_RS02035
TU2PN3-13469	SGL_RS06535
TU2PN3-13607	SGL_RS07490
TU2PN3-15370	SGL_RS10320
TU2PN3-13974	SGL_RS10130
TU2PN3-14072	SGL_RS10825
TU2PN3-15515	SGL_RS15040
TU2PN3-14224	SGL_RS11885
TU2PN3-15046	SGL_RS17550
TU2PN3-15308	SGL_RS07990
TU2PN3-14818	SGL_RS15895
TU2PN3-14853	SGL_RS16175
TU2PN3-14853	SGL_RS19095
TU2PN3-14698	SGL_RS15095
TU2PN3-13864	SGL_RS09315
TU2PN3-13864	SGL_RS09310
TU2PN3-14523	SGL_RS13875
TU2PN3-14593	SGL_RS14385
TU2PN3-14593	SGL_RS14380
TU2PN3-14593	SGL_RS14375
TU2PN3-15396	SGL_RS11470
TU2PN3-13175	SGL_RS04585
TU2PN3-13702	SGL_RS08210
TU2PN3-14702	SGL_RS15120
TU2PN3-14016	SGL_RS10435
TU2PN3-14952	SGL_RS16870
TU2PN3-14952	SGL_RS16865
TU2PN3-14952	SGL_RS16860
TU2PN3-13189	SGL_RS04680
TU2PN3-14534	SGL_RS13940
TU2PN3-14351	SGL_RS12750
TU2PN3-13190	SGL_RS04685
TU2PN3-13004	SGL_RS03390
TU2PN3-15267	SGL_RS06875
TU2PN3-13207	SGL_RS04780
TU2PN3-13502	SGL_RS06745
TU2PN3-13380	SGL_RS05985
TU2PN3-13380	SGL_RS05980
TU2PN3-13380	SGL_RS05975
TU2PN3-13784	SGL_RS08770
TU2PN3-16101	SGL_RS03475
TU2PN3-13018	SGL_RS03480
TU2PN3-13018	SGL_RS03475
TU2PN3-15497	SGL_RS14330
TU2PN3-14448	SGL_RS13380
TU2PN3-15230	SGL_RS04515
TU2PN3-15480	SGL_RS13835
TU2PN3-14787	SGL_RS15700
TU2PN3-14501	SGL_RS13730
TU2PN3-15503	SGL_RS14605
TU2PN3-13709	SGL_RS08260
TU2PN3-15062	SGL_RS17675
TU2PN3-14375	SGL_RS12895
TU2PN3-14318	SGL_RS12560
TU2PN3-14318	SGL_RS12555
TU2PN3-14318	SGL_RS12550
TU2PN3-14318	SGL_RS12545
TU2PN3-13368	SGL_RS05900
TU2PN3-14112	SGL_RS11075
TU2PN3-12784	SGL_RS18385
TU2PN3-12802	SGL_RS01980
TU2PN3-12802	SGL_RS01985
TU2PN3-12802	SGL_RS01990
TU2PN3-12802	SGL_RS02000
TU2PN3-12802	SGL_RS01995
TU2PN3-13070	SGL_RS03845
TU2PN3-14753	SGL_RS15490
TU2PN3-14753	SGL_RS15485
TU2PN3-14753	SGL_RS15480
TU2PN3-13071	SGL_RS03850
TU2PN3-13308	SGL_RS05440
TU2PN3-13578	SGL_RS07250
TU2PN3-13578	SGL_RS07245
TU2PN3-13866	SGL_RS09325
TU2PN3-13129	SGL_RS04250
TU2PN3-13782	SGL_RS08755
TU2PN3-13119	SGL_RS04190
TU2PN3-15222	SGL_RS04360
TU2PN3-14153	SGL_RS11345
TU2PN3-14449	SGL_RS13385
TU2PN3-13845	SGL_RS09170
TU2PN3-14164	SGL_RS11420
TU2PN3-12808	SGL_RS02030
TU2PN3-12793	SGL_RS01945
TU2PN3-12793	SGL_RS01940
TU2PN3-12793	SGL_RS01935
TU2PN3-12793	SGL_RS01930
TU2PN3-15466	SGL_RS13450
TU2PN3-13271	SGL_RS05195
TU2PN3-15390	SGL_RS11210
TU2PN3-14033	SGL_RS10530
TU2PN3-13425	SGL_RS06260
TU2PN3-16041	SGL_RS12130
TU2PN3-16041	SGL_RS12135
TU2PN3-16041	SGL_RS12140
TU2PN3-16041	SGL_RS12125
TU2PN3-13254	SGL_RS05070
TU2PN3-14885	SGL_RS16350
TU2PN3-14885	SGL_RS16345
TU2PN3-13627	SGL_RS07660
TU2PN3-13263	SGL_RS05125
TU2PN3-13263	SGL_RS05120
TU2PN3-14193	SGL_RS11655
TU2PN3-15384	SGL_RS10850
TU2PN3-14035	SGL_RS18415
TU2PN3-12807	SGL_RS02025
TU2PN3-12798	SGL_RS01975
TU2PN3-12892	SGL_RS02635
TU2PN3-14675	SGL_RS14955
TU2PN3-12893	SGL_RS02645
TU2PN3-12893	SGL_RS02640
TU2PN3-14541	SGL_RS13995
TU2PN3-14136	SGL_RS11230
TU2PN3-14177	SGL_RS11515
TU2PN3-14177	SGL_RS11510
TU2PN3-13773	SGL_RS08710
TU2PN3-14417	SGL_RS13155
TU2PN3-14614	SGL_RS14545
TU2PN3-15190	SGL_RS02755
TU2PN3-13313	SGL_RS05475
TU2PN3-13313	SGL_RS05470
TU2PN3-13530	SGL_RS06955
TU2PN3-13226	SGL_RS04900
TU2PN3-13226	SGL_RS04895
TU2PN3-13985	SGL_RS10235
TU2PN3-13178	SGL_RS04600
TU2PN3-14672	SGL_RS14935
TU2PN3-14672	SGL_RS14930
TU2PN3-14634	SGL_RS14680
TU2PN3-13262	SGL_RS05115
TU2PN3-13262	SGL_RS05110
TU2PN3-15474	SGL_RS13625
TU2PN3-13108	SGL_RS04115
TU2PN3-13465	SGL_RS06515
TU2PN3-13209	SGL_RS04795
TU2PN3-13209	SGL_RS04790
TU2PN3-13481	SGL_RS06620
TU2PN3-16076	SGL_RS10660
TU2PN3-16076	SGL_RS10655
TU2PN3-14052	SGL_RS10660
TU2PN3-14052	SGL_RS10655
TU2PN3-14052	SGL_RS10650
TU2PN3-13852	SGL_RS09215
TU2PN3-13852	SGL_RS09210
TU2PN3-13480	SGL_RS06615
TU2PN3-14461	SGL_RS13465
TU2PN3-15599	SGL_RS18290
TU2PN3-14087	SGL_RS10930
TU2PN3-14991	SGL_RS17200
TU2PN3-14705	SGL_RS15140
TU2PN3-12980	SGL_RS03245
TU2PN3-14754	SGL_RS15495
TU2PN3-14323	SGL_RS12585
TU2PN3-14003	SGL_RS10355
TU2PN3-15225	SGL_RS04385
TU2PN3-13812	SGL_RS08980
TU2PN3-13573	SGL_RS07215
TU2PN3-14975	SGL_RS17045
TU2PN3-13563	SGL_RS07160
TU2PN3-14077	SGL_RS10865
TU2PN3-14903	SGL_RS16515
TU2PN3-13565	SGL_RS07170
TU2PN3-14234	SGL_RS11955
TU2PN3-14350	SGL_RS12745
TU2PN3-14881	SGL_RS16330
TU2PN3-14881	SGL_RS16325
TU2PN3-13327	SGL_RS05590
TU2PN3-13327	SGL_RS05585
TU2PN3-13327	SGL_RS05580
TU2PN3-14116	SGL_RS11090
TU2PN3-14115	SGL_RS20205
TU2PN3-14114	SGL_RS11085
TU2PN3-15056	SGL_RS17635
TU2PN3-14923	SGL_RS16650
TU2PN3-14923	SGL_RS16645
TU2PN3-14923	SGL_RS16640
TU2PN3-13215	SGL_RS04825
TU2PN3-13847	SGL_RS09185
TU2PN3-14506	SGL_RS13765
TU2PN3-14397	SGL_RS13045
TU2PN3-14104	SGL_RS11030
TU2PN3-14104	SGL_RS11025
TU2PN3-14316	SGL_RS12525
TU2PN3-12816	SGL_RS02105
TU2PN3-14361	SGL_RS12820
TU2PN3-15121	SGL_RS18095
TU2PN3-15121	SGL_RS18090
TU2PN3-13519	SGL_RS06895
TU2PN3-13553	SGL_RS07100
TU2PN3-13599	SGL_RS07435
TU2PN3-13599	SGL_RS07430
TU2PN3-13599	SGL_RS07425
TU2PN3-12874	SGL_RS02490
TU2PN3-14770	SGL_RS15590
TU2PN3-15292	SGL_RS07655
TU2PN3-12891	SGL_RS02630
TU2PN3-14951	SGL_RS16850
TU2PN3-14951	SGL_RS16845
TU2PN3-13144	SGL_RS04340
TU2PN3-15418	SGL_RS12045
TU2PN3-14230	SGL_RS11925
TU2PN3-14386	SGL_RS12955
TU2PN3-13061	SGL_RS03800
TU2PN3-14113	SGL_RS11080
TU2PN3-14117	SGL_RS11095
TU2PN3-15571	SGL_RS17380
TU2PN3-14510	SGL_RS13790
TU2PN3-13115	SGL_RS04160
TU2PN3-12925	SGL_RS02895
TU2PN3-15244	SGL_RS05620
TU2PN3-15506	SGL_RS14665
TU2PN3-13191	SGL_RS04690
TU2PN3-13439	SGL_RS06360
TU2PN3-14581	SGL_RS14290
TU2PN3-15468	SGL_RS13565
TU2PN3-12791	SGL_RS01905
TU2PN3-14721	SGL_RS15285
TU2PN3-12835	SGL_RS02240
TU2PN3-15447	SGL_RS12985
TU2PN3-13457	SGL_RS06455
TU2PN3-14303	SGL_RS12450
TU2PN3-13143	SGL_RS04330
TU2PN3-14107	SGL_RS11050
TU2PN3-14107	SGL_RS11045
TU2PN3-13760	SGL_RS08625
TU2PN3-13760	SGL_RS08620
TU2PN3-13760	SGL_RS08615
TU2PN3-13409	SGL_RS06170
TU2PN3-14493	SGL_RS13680
TU2PN3-13408	SGL_RS06165
TU2PN3-14535	SGL_RS13945
TU2PN3-13623	SGL_RS07625
TU2PN3-13623	SGL_RS07620
TU2PN3-13623	SGL_RS07615
TU2PN3-13622	SGL_RS07610
TU2PN3-13510	SGL_RS06795
TU2PN3-15028	SGL_RS17430
TU2PN3-15028	SGL_RS17425
TU2PN3-13157	SGL_RS04455
TU2PN3-14310	SGL_RS12490
TU2PN3-13511	SGL_RS06800
TU2PN3-14084	SGL_RS10915
TU2PN3-14084	SGL_RS10910
TU2PN3-14084	SGL_RS10905
TU2PN3-14934	SGL_RS16725
TU2PN3-14472	SGL_RS13520
TU2PN3-13786	SGL_RS08785
TU2PN3-12788	SGL_RS01890
TU2PN3-14598	SGL_RS14420
TU2PN3-14598	SGL_RS14415
TU2PN3-13647	SGL_RS07790
TU2PN3-13656	SGL_RS07880
TU2PN3-13903	SGL_RS09590
TU2PN3-13634	SGL_RS07710
TU2PN3-14927	SGL_RS16675
TU2PN3-12996	SGL_RS03345
TU2PN3-12949	SGL_RS03055
TU2PN3-14450	SGL_RS13390
TU2PN3-14007	SGL_RS10380
TU2PN3-13879	SGL_RS09400
TU2PN3-13991	SGL_RS10280
TU2PN3-12937	SGL_RS02985
TU2PN3-12937	SGL_RS02980
TU2PN3-13857	SGL_RS09260
TU2PN3-13264	SGL_RS05135
TU2PN3-14924	SGL_RS16660
TU2PN3-12896	SGL_RS02715
TU2PN3-12947	SGL_RS03040
TU2PN3-12947	SGL_RS03035
TU2PN3-13137	SGL_RS04300
TU2PN3-13529	SGL_RS06950
TU2PN3-13529	SGL_RS06945
TU2PN3-15304	SGL_RS07855
TU2PN3-13762	SGL_RS08635
TU2PN3-13333	SGL_RS05630
TU2PN3-13792	SGL_RS08860
TU2PN3-13848	SGL_RS09190
TU2PN3-13853	SGL_RS09220
TU2PN3-13910	SGL_RS09645
TU2PN3-15469	SGL_RS13585
TU2PN3-14549	SGL_RS14080
TU2PN3-14756	SGL_RS15515
TU2PN3-14756	SGL_RS15510
TU2PN3-14829	SGL_RS15965
TU2PN3-14829	SGL_RS15960
TU2PN3-15380	SGL_RS10760
TU2PN3-14800	SGL_RS15780
TU2PN3-14800	SGL_RS15775
TU2PN3-13064	SGL_RS03815
TU2PN3-15345	SGL_RS09700
TU2PN3-13849	SGL_RS09195
TU2PN3-13916	SGL_RS09695
TU2PN3-14137	SGL_RS11235
TU2PN3-13994	SGL_RS10295
TU2PN3-14012	SGL_RS10405
TU2PN3-14636	SGL_RS14690
TU2PN3-14997	SGL_RS17225
TU2PN3-15529	SGL_RS15395
TU2PN3-13744	SGL_RS08515
TU2PN3-13744	SGL_RS08510
TU2PN3-13159	SGL_RS04465
TU2PN3-13986	SGL_RS10250
TU2PN3-15527	SGL_RS15330
TU2PN3-12782	SGL_RS18375
TU2PN3-14440	SGL_RS13330
TU2PN3-15027	SGL_RS17420
TU2PN3-15236	SGL_RS05130
TU2PN3-13458	SGL_RS06470
TU2PN3-13458	SGL_RS06465
TU2PN3-13568	SGL_RS18765
TU2PN3-13060	SGL_RS19170
TU2PN3-13319	SGL_RS05515
TU2PN3-13319	SGL_RS05510
TU2PN3-13752	SGL_RS08565
TU2PN3-12990	SGL_RS03300
TU2PN3-14680	SGL_RS14985
TU2PN3-14212	SGL_RS11805
TU2PN3-13920	SGL_RS09725
TU2PN3-13920	SGL_RS09760
TU2PN3-13920	SGL_RS09755
TU2PN3-13920	SGL_RS09750
TU2PN3-13920	SGL_RS09745
TU2PN3-13920	SGL_RS09740
TU2PN3-13920	SGL_RS09735
TU2PN3-13920	SGL_RS09730
TU2PN3-15288	SGL_RS07590
TU2PN3-13863	SGL_RS09305
TU2PN3-13682	SGL_RS08065
TU2PN3-12951	SGL_RS03065
TU2PN3-13831	SGL_RS09090
TU2PN3-15216	SGL_RS04040
TU2PN3-15595	SGL_RS18085
TU2PN3-14296	SGL_RS12410
TU2PN3-13387	SGL_RS06030
TU2PN3-13644	SGL_RS07770
TU2PN3-14120	SGL_RS11110
TU2PN3-14079	SGL_RS10880
TU2PN3-14079	SGL_RS10875
TU2PN3-13981	SGL_RS10190
TU2PN3-15165	SGL_RS02090
TU2PN3-13466	SGL_RS06520
TU2PN3-14427	SGL_RS13225
TU2PN3-12977	SGL_RS03215
TU2PN3-12977	SGL_RS03210
TU2PN3-13601	SGL_RS07450
TU2PN3-13601	SGL_RS07445
TU2PN3-13873	SGL_RS09360
TU2PN3-15265	SGL_RS06865
TU2PN3-13403	SGL_RS06140
TU2PN3-14995	SGL_RS17215
TU2PN3-15110	SGL_RS18015
TU2PN3-14902	SGL_RS16510
TU2PN3-13834	SGL_RS09105
TU2PN3-14521	SGL_RS13860
TU2PN3-13353	SGL_RS05750
TU2PN3-12873	SGL_RS02485
TU2PN3-12873	SGL_RS02480
TU2PN3-13019	SGL_RS03485
TU2PN3-14344	SGL_RS19935
TU2PN3-14344	SGL_RS12705
TU2PN3-15012	SGL_RS17310
TU2PN3-15030	SGL_RS17450
TU2PN3-15030	SGL_RS17445
TU2PN3-14390	SGL_RS13010
TU2PN3-14390	SGL_RS13005
TU2PN3-13810	SGL_RS08960
TU2PN3-13810	SGL_RS19340
TU2PN3-13810	SGL_RS08965
TU2PN3-13807	SGL_RS08955
TU2PN3-14163	SGL_RS11415
TU2PN3-12849	SGL_RS02315
TU2PN3-13456	SGL_RS06450
TU2PN3-13645	SGL_RS07775
TU2PN3-15454	SGL_RS13250
TU2PN3-12795	SGL_RS01950
TU2PN3-15069	SGL_RS17750
TU2PN3-15071	SGL_RS17755
TU2PN3-15071	SGL_RS17760
TU2PN3-14738	SGL_RS15410
TU2PN3-13790	SGL_RS08835
TU2PN3-13790	SGL_RS08830
TU2PN3-14299	SGL_RS12430
TU2PN3-13832	SGL_RS09095
TU2PN3-13793	SGL_RS08885
TU2PN3-13793	SGL_RS08880
TU2PN3-13793	SGL_RS08875
TU2PN3-13793	SGL_RS08870
TU2PN3-13793	SGL_RS08865
TU2PN3-13896	SGL_RS09520
TU2PN3-13896	SGL_RS09515
TU2PN3-13896	SGL_RS09510
TU2PN3-13896	SGL_RS09505
