pathid	pathway	gene
PWY-6537	4-aminobutanoate degradation II	SGL_RS12900
PWY-5755	4-hydroxybenzoate biosynthesis	SGL_RS05860
PWY-8130	5'-deoxyadenosine degradation I	SGL_RS12395
PWY-8130	5'-deoxyadenosine degradation I	SGL_RS12240
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	SGL_RS07670
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS13120
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS10950
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS14055
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS15530
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS15525
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS02220
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS15145
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS13120
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS10950
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS15530
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS15525
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS02220
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS15145
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis	SGL_RS08220
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis	SGL_RS02755
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis	SGL_RS11510
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis	SGL_RS14545
PWY-6519	8-amino-7-oxononanoate biosynthesis	SGL_RS07245
PWY-6519	8-amino-7-oxononanoate biosynthesis	SGL_RS14860
PWY-6502	8-oxo-(d)GTP detoxification I	SGL_RS02290
PWY-8061	8-oxo-(d)GTP detoxification II	SGL_RS02290
PWY0-1312	acetate and ATP formation from acetyl-CoA I	SGL_RS05025
PWY0-1312	acetate and ATP formation from acetyl-CoA I	SGL_RS07720
PWY-8328	acetate and ATP formation from acetyl-CoA III	SGL_RS15030
PWY0-1313	acetate conversion to acetyl-CoA	SGL_RS15030
PWY-6012-1	acyl carrier protein activation	SGL_RS14125
PWY-6619	adenine and adenosine salvage	SGL_RS16690
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS18250
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS10995
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS12365
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS05700
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS11780
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS05755
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	SGL_RS02195
PWY-6268	adenosylcobalamin salvage from cobalamin	SGL_RS08905
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	SGL_RS15620
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	SGL_RS13535
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	SGL_RS12265
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	SGL_RS08905
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I	SGL_RS08905
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I	SGL_RS13535
PWY-8072	alanine racemization	SGL_RS15085
PWY-7032-1	alkane biosynthesis	SGL_RS13550
PWY-7032-1	alkane biosynthesis	SGL_RS04190
PWY-7032-1	alkane biosynthesis	SGL_RS13555
PWY-7598	&alpha;-linolenoyl-[lipid] biosynthesis	SGL_RS10825
PWY-5443	aminopropanol phosphate biosynthesis I	SGL_RS06405
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS04340
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS11925
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS17390
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS14530
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS10865
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS07160
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS16515
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS13520
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS10805
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS02440
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS13880
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS10250
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS15330
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS17380
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS02895
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS04160
AMMASSIM-PWY	ammonia assimilation cycle III	SGL_RS09060
PWY-8266	arsenite methylation (bacterial)	SGL_RS15900
PWY1ZNC-1	assimilatory sulfate reduction IV	SGL_RS11000
PWY1ZNC-1	assimilatory sulfate reduction IV	SGL_RS03380
PWY1ZNC-1	assimilatory sulfate reduction IV	SGL_RS03840
PWY1ZNC-1	assimilatory sulfate reduction IV	SGL_RS03060
PWY-5155	&beta;-alanine biosynthesis	SGL_RS14880
PWY-5943	&beta;-carotene biosynthesis	SGL_RS12160
PWY-8128	biotin biosynthesis	SGL_RS13315
PWY-8128	biotin biosynthesis	SGL_RS15560
PWY-8128	biotin biosynthesis	SGL_RS07055
PWY-8128	biotin biosynthesis	SGL_RS14800
PWY-8128	biotin biosynthesis	SGL_RS13810
PWY0-1264	biotin-carboxyl carrier protein assembly	SGL_RS03185
PWY0-1264	biotin-carboxyl carrier protein assembly	SGL_RS13980
PWY0-1264	biotin-carboxyl carrier protein assembly	SGL_RS12910
PWY0-1264	biotin-carboxyl carrier protein assembly	SGL_RS17700
PWY0-1601	cadaverine biosynthesis	SGL_RS02955
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS13415
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS13425
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS11980
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS17045
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS13180
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS13385
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS11345
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS11420
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS05660
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS09170
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS09950
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS11625
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS10960
CALVIN-PWY	Calvin-Benson-Bassham cycle	SGL_RS14580
PWY-5667	CDP-diacylglycerol biosynthesis I	SGL_RS07110
PWY-5667	CDP-diacylglycerol biosynthesis I	SGL_RS12400
PWY-5667	CDP-diacylglycerol biosynthesis I	SGL_RS09225
PWY-5667	CDP-diacylglycerol biosynthesis I	SGL_RS04330
PWY-5667	CDP-diacylglycerol biosynthesis I	SGL_RS11340
PWY0-1319	CDP-diacylglycerol biosynthesis II	SGL_RS07110
PWY0-1319	CDP-diacylglycerol biosynthesis II	SGL_RS04330
PWY0-1319	CDP-diacylglycerol biosynthesis II	SGL_RS11340
PWY0-1319	CDP-diacylglycerol biosynthesis II	SGL_RS12400
PWY0-1319	CDP-diacylglycerol biosynthesis II	SGL_RS09225
PWY-5981	CDP-diacylglycerol biosynthesis III	SGL_RS07110
PWY-5981	CDP-diacylglycerol biosynthesis III	SGL_RS04330
PWY-5981	CDP-diacylglycerol biosynthesis III	SGL_RS11340
PWY-5981	CDP-diacylglycerol biosynthesis III	SGL_RS12400
PWY-5981	CDP-diacylglycerol biosynthesis III	SGL_RS09320
PWY-5981	CDP-diacylglycerol biosynthesis III	SGL_RS09225
PWY-5064-1	chlorophyll <i>a</i> biosynthesis II	SGL_RS13885
PWY-5064-1	chlorophyll <i>a</i> biosynthesis II	SGL_RS11020
PWY-5064-1	chlorophyll <i>a</i> biosynthesis II	SGL_RS12255
PWY-7764	chlorophyll <i>a</i> biosynthesis III	SGL_RS13885
PWY-7764	chlorophyll <i>a</i> biosynthesis III	SGL_RS12255
ARO-PWY	chorismate biosynthesis	SGL_RS09600
ARO-PWY	chorismate biosynthesis	SGL_RS06190
ARO-PWY	chorismate biosynthesis	SGL_RS11755
ARO-PWY	chorismate biosynthesis	SGL_RS03075
ARO-PWY	chorismate biosynthesis	SGL_RS17415
ARO-PWY	chorismate biosynthesis	SGL_RS06095
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SGL_RS06190
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SGL_RS11755
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SGL_RS03075
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SGL_RS17415
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SGL_RS06095
PWY-7205	CMP phosphorylation	SGL_RS10105
PWY-7205	CMP phosphorylation	SGL_RS12365
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	SGL_RS11290
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	SGL_RS13835
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	SGL_RS10110
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS10110
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS15100
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS09335
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16585
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16580
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16570
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16565
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS13415
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS13425
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS06285
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS06280
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS06290
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS06295
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS17000
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS02610
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS10725
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16985
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16990
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS09885
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS11490
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS09990
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS08920
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16995
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS10735
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS10730
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS14890
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS18425
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS11830
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS03305
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16595
PWY2PN3-10	CO<sub>2</sub> uptake and concentration	SGL_RS16590
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS02595
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS11320
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS04180
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS12770
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS14480
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS03425
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS02505
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS06435
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS07105
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS15745
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS16520
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	SGL_RS07635
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS07635
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS03425
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS02505
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS02595
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS11320
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS10490
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS04180
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS06070
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS12770
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS14480
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS07105
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	SGL_RS15745
COA-PWY	coenzyme A biosynthesis	SGL_RS15225
COA-PWY	coenzyme A biosynthesis	SGL_RS16940
COA-PWY	coenzyme A biosynthesis	SGL_RS08945
CYANCAT-PWY	cyanate degradation	SGL_RS14780
PWY-7052	cyanophycin metabolism	SGL_RS08655
PWY-7052	cyanophycin metabolism	SGL_RS08660
PWY-7052	cyanophycin metabolism	SGL_RS11775
PWY2PN3-6	cyanopterin biosynthesis	SGL_RS11005
PWY-8270	cyclic electron flow	SGL_RS09595
PWY-8270	cyclic electron flow	SGL_RS07315
PWY-8270	cyclic electron flow	SGL_RS13200
PWY-8270	cyclic electron flow	SGL_RS07320
PWY-8270	cyclic electron flow	SGL_RS13205
PWY-8270	cyclic electron flow	SGL_RS10475
PWY-8270	cyclic electron flow	SGL_RS16365
PWY-8270	cyclic electron flow	SGL_RS18655
PWY-8270	cyclic electron flow	SGL_RS17240
PWY-8270	cyclic electron flow	SGL_RS04090
PWY-8270	cyclic electron flow	SGL_RS17820
PWY-8270	cyclic electron flow	SGL_RS02600
PWY-8270	cyclic electron flow	SGL_RS09805
PWY-8270	cyclic electron flow	SGL_RS17825
PWY-8270	cyclic electron flow	SGL_RS09810
PWY-8270	cyclic electron flow	SGL_RS11240
PWY-8270	cyclic electron flow	SGL_RS02435
PWY-8270	cyclic electron flow	SGL_RS12620
PWY-8270	cyclic electron flow	SGL_RS06310
PWY-8270	cyclic electron flow	SGL_RS06305
PWY-8270	cyclic electron flow	SGL_RS06285
PWY-8270	cyclic electron flow	SGL_RS06280
PWY-8270	cyclic electron flow	SGL_RS06290
PWY-8270	cyclic electron flow	SGL_RS06295
PWY-8270	cyclic electron flow	SGL_RS03225
PWY-8270	cyclic electron flow	SGL_RS12625
PWY-8270	cyclic electron flow	SGL_RS15190
PWY-8270	cyclic electron flow	SGL_RS20180
PWY-8270	cyclic electron flow	SGL_RS19605
PWY-8270	cyclic electron flow	SGL_RS17000
PWY-8270	cyclic electron flow	SGL_RS02610
PWY-8270	cyclic electron flow	SGL_RS10725
PWY-8270	cyclic electron flow	SGL_RS16985
PWY-8270	cyclic electron flow	SGL_RS16990
PWY-8270	cyclic electron flow	SGL_RS09885
PWY-8270	cyclic electron flow	SGL_RS11490
PWY-8270	cyclic electron flow	SGL_RS09990
PWY-8270	cyclic electron flow	SGL_RS08920
PWY-8270	cyclic electron flow	SGL_RS16995
PWY-8270	cyclic electron flow	SGL_RS10735
PWY-8270	cyclic electron flow	SGL_RS10730
PWY-8270	cyclic electron flow	SGL_RS14890
PWY-8270	cyclic electron flow	SGL_RS18425
PWY-8270	cyclic electron flow	SGL_RS11830
PWY-8270	cyclic electron flow	SGL_RS03305
PWY-8270	cyclic electron flow	SGL_RS16595
PWY-8270	cyclic electron flow	SGL_RS16590
PWY-8270	cyclic electron flow	SGL_RS13610
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS04050
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS09100
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS17345
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS14170
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS11935
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS05875
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)	SGL_RS10145
PWY-6317	D-galactose degradation I (Leloir pathway)	SGL_RS03640
PWY-6317	D-galactose degradation I (Leloir pathway)	SGL_RS08980
PWY-6317	D-galactose degradation I (Leloir pathway)	SGL_RS03705
PWY-6317	D-galactose degradation I (Leloir pathway)	SGL_RS06860
PWY-6317	D-galactose degradation I (Leloir pathway)	SGL_RS17740
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	SGL_RS16700
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	SGL_RS13530
PWY-8159	dipyrromethane cofactor biosynthesis	SGL_RS07710
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	SGL_RS12335
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	SGL_RS03555
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	SGL_RS02095
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	SGL_RS13560
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	SGL_RS15130
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	SGL_RS17740
PWY-7638	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)	SGL_RS15345
PWY-7638	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)	SGL_RS06460
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt	SGL_RS15700
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt	SGL_RS18015
PWY-7255	ergothioneine biosynthesis	SGL_RS08260
PWY-7255	ergothioneine biosynthesis	SGL_RS12490
PWY-4381	fatty acid biosynthesis initiation (type II)	SGL_RS05440
PWY-4381	fatty acid biosynthesis initiation (type II)	SGL_RS09325
PWY-4381	fatty acid biosynthesis initiation (type II)	SGL_RS12910
PWY-4381	fatty acid biosynthesis initiation (type II)	SGL_RS17700
FASYN-ELONG-PWY-1	fatty acid elongation -- saturated	SGL_RS08755
FASYN-ELONG-PWY-1	fatty acid elongation -- saturated	SGL_RS04250
FASYN-ELONG-PWY-1	fatty acid elongation -- saturated	SGL_RS07245
FASYN-ELONG-PWY-1	fatty acid elongation -- saturated	SGL_RS05665
FASYN-ELONG-PWY-1	fatty acid elongation -- saturated	SGL_RS09720
RIBOSYN2-PWY	flavin biosynthesis	SGL_RS07670
RIBOSYN2-PWY	flavin biosynthesis	SGL_RS12575
RIBOSYN2-PWY	flavin biosynthesis	SGL_RS06985
RIBOSYN2-PWY	flavin biosynthesis	SGL_RS11635
RIBOSYN2-PWY	flavin biosynthesis	SGL_RS13965
RIBOSYN2-PWY	flavin biosynthesis	SGL_RS10240
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS04360
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS14710
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS11955
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS12745
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS07170
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS02780
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS13155
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	SGL_RS04690
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	SGL_RS04895
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	SGL_RS04900
PWY-7909	formaldehyde oxidation VII (THF pathway)	SGL_RS13155
PWY-7909	formaldehyde oxidation VII (THF pathway)	SGL_RS13830
PWY-8346-1	GABA shunt II	SGL_RS04385
PWY-8346-1	GABA shunt II	SGL_RS17380
PWY-8346-1	GABA shunt II	SGL_RS04875
PWY-8346-1	GABA shunt II	SGL_RS12900
PWY-8346-1	GABA shunt II	SGL_RS16330
PWY-8346-1	GABA shunt II	SGL_RS02895
PWY-8346-1	GABA shunt II	SGL_RS04160
PWY-7666	galactolipid biosynthesis	SGL_RS09310
PWY-7666	galactolipid biosynthesis	SGL_RS10580
PWY-7666	galactolipid biosynthesis	SGL_RS10570
PWY-7594	&gamma;-linolenoyl-[lipid] biosynthesis	SGL_RS11885
PWY-66	GDP-L-fucose biosynthesis	SGL_RS01905
PWY-66	GDP-L-fucose biosynthesis	SGL_RS03665
