gene	seqnames	start	end	strand	name	locus	locus_alt	synonyms	product
SGL_RS02190	chromosome	74995	75804	+	pilD	slr1120	SGL_RS02190	RS02190 // hofD	prepilin peptidase/<i>N</i>-methylase
SGL_RS02195	chromosome	75955	76500	-	adk2	sll1059	SGL_RS02195	RS02195	adenylate kinase 2
SGL_RS02200	chromosome	76580	77407	-	dapB	sll1058	SGL_RS02200	RS02200	4-hydroxy-tetrahydrodipicolinate reductase
SGL_RS02205	chromosome	77494	77826	-	trxC	sll1057	SGL_RS02205	RS02205	thioredoxin C
SGL_RS02210	chromosome	77980	78246	-	ssl2065	ssl2065	SGL_RS02210	RS02210	DUF2442 domain-containing protein
SGL_RS02215	chromosome	78206	78445	-	ssl2064	ssl2064	SGL_RS02215	RS02215	DUF4160 domain-containing protein
SGL_RS02220	chromosome	78467	80800	-	purL	sll1056	SGL_RS02220	RS02220	phosphoribosylformylglycinamidine synthase subunit PurL
SGL_RS02225	chromosome	80938	81690	+	slr1122	slr1122	SGL_RS02225	RS02225	hypothetical protein
SGL_RS02230	chromosome	81696	82259	-	sll1054	sll1054	SGL_RS02230	RS02230	NUDIX hydrolase
SGL_RS02235	chromosome	82291	83853	-	sll1053	sll1053	SGL_RS02235	RS02235	efflux RND transporter periplasmic adaptor subunit
SLL1053-AS	chromosome	83888	83929	+	sll1053-as	sll1053-as	NA	NA	SLL1053-AS-RNA
SGL_RS02240	chromosome	84122	84697	+	gmpK	slr1123	SGL_RS02240	RS02240 // gmk	guanylate kinase
SLR1123-AS	chromosome	84683	84743	-	slr1123-as	slr1123-as	NA	NA	SLR1123-AS-RNA
SGL_RS02245	chromosome	84776	86107	+	serB	slr1124	SGL_RS02245	RS02245	phosphoserine phosphatase
SGL_RS02250	chromosome	86159	87418	+	slr1125	slr1125	SGL_RS02250	RS02250	glycosyltransferase
SGL_RS02255	chromosome	87536	87910	-	sll1052	sll1052	SGL_RS02255	RS02255	sulfite exporter TauE/SafE family protein
SGL_RS02260	chromosome	88017	88661	-	cpcF	sll1051	SGL_RS02260	RS02260	[phycocyanin alpha-subunit]:phycocyanobilin lyase &beta; subunit
SGL_RS02265	chromosome	88818	90506	-	sll1049	sll1049	SGL_RS02265	RS02265	transglutaminase family protein
SLL1049-AS	chromosome	89735	89820	+	sll1049-as	sll1049-as	NA	NA	SLL1049-AS-RNA
SGL_RS02270	chromosome	90737	91411	+	slr1127	slr1127	SGL_RS02270	RS02270	hypothetical protein
SLR1127-AS	chromosome	91375	91397	-	slr1127-as	slr1127-as	NA	NA	SLR1127-AS-RNA
SGL_RS02275	chromosome	91517	92482	+	slr1128	slr1128	SGL_RS02275	RS02275	SPFH domain-containing protein
SLR1128-AS2	chromosome	92436	92533	-	slr1128-as2	slr1128-as2	NA	NA	SLR1128-AS2-RNA
SLR1128-AS	chromosome	92438	92509	-	slr1128-as	slr1128-as	NA	NA	SLR1128-AS-RNA
NCR0020	chromosome	92545	92654	+	ncr0020	ncr0020	NA	NA	NCR0020-RNA
NCL0020	chromosome	92938	93037	-	ncl0020	ncl0020	NA	NA	NCL0020-RNA
SGL_RS02280	chromosome	93128	95152	+	rne	slr1129	SGL_RS02280	RS02280	ribonuclease E
SGL_RS02285	chromosome	95236	95808	+	rnhB	slr1130	SGL_RS02285	RS02285	ribonuclease HII
SGL_RS02290	chromosome	95818	96228	-	mutT	sll1045	SGL_RS02290	RS02290	8-oxo-dGTP diphosphatase MutT
SGL_RS02295	chromosome	96325	98481	-	pnp	sll1043	SGL_RS02295	RS02295	polyribonucleotide nucleotidyltransferase
SGL_RS02300	chromosome	98609	99199	-	lepB1	sll0716	SGL_RS02300	RS02300	leader peptidase I LepB1
SGL_RS02305	chromosome	99402	100793	+	maeB	slr0721	SGL_RS02305	RS02305	NAD-dependent malic enzyme
SLR0721-AS	chromosome	100756	100880	-	slr0721-as	slr0721-as	NA	NA	SLR0721-AS-RNA
SGL_RS02310	chromosome	100794	101771	-	cysM	sll0712	SGL_RS02310	RS02310	cysteine synthase A
SGL_RS02315	chromosome	101884	102831	-	ispE	sll0711	SGL_RS02315	RS02315	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
SGL_RS02320	chromosome	102930	105110	-	sll0710	sll0710	SGL_RS02320	RS02320	hypothetical protein
SLL0710-AS	chromosome	104817	104850	+	sll0710-as	sll0710-as	NA	NA	SLL0710-AS-RNA
SGL_RS02325	chromosome	105151	106464	-	sll0709	sll0709	SGL_RS02325	RS02325	McrB family protein
NCL0030	chromosome	106687	106808	-	SyR8	ncl0030	NA	NA	SyR8
NCR0030	chromosome	106735	106787	+	ncr0030	ncr0030	NA	NA	NCR0030-RNA
SGL_RS18640	chromosome	106905	107208	+	smr0012	smr0012	SGL_RS18640	RS18640	transposase (inactive)
NCR0040	chromosome	107188	107251	+	ncr0040	ncr0040	NA	NA	NCR0040-RNA
SGL_RS02330	chromosome	107471	108325	-	rsmA	sll0708	SGL_RS02330	RS02330	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
SGL_RS02335	chromosome	108290	109201	+	slr0722	slr0722	SGL_RS02335	RS02335	16S rRNA (uracil(1498)-N(3))-methyltransferase
SLL0708-AS	chromosome	108338	108364	+	sll0708-as	sll0708-as	NA	NA	SLL0708-AS-RNA
SGL_RS02340	chromosome	109222	110313	+	slr0723	slr0723	SGL_RS02340	RS02340	hypothetical protein
SGL_RS02345	chromosome	110392	110724	+	slr0724	slr0724	SGL_RS02345	RS02345	type II toxin-antitoxin system PrlF family antitoxin
SGL_RS02350	chromosome	110808	111224	+	slr0725	slr0725	SGL_RS02350	RS02350	type II toxin-antitoxin system YhaV family toxin
SGL_RS02355	chromosome	111588	112559	+	slr0727	slr0727	SGL_RS02355	RS02355	hypothetical protein
SLR0727-AS	chromosome	112483	112551	-	slr0727-as	slr0727-as	NA	NA	SLR0727-AS-RNA
NCR0050	chromosome	112840	112900	+	ncr0050	ncr0050	NA	NA	NCR0050-RNA
SGL_RS02360	chromosome	112860	114188	+	slr0728	slr0728	SGL_RS02360	RS02360	O-antigen ligase
SGL_RS02365	chromosome	114319	114624	+	slr0729	slr0729	SGL_RS02365	RS02365	DUF3181 family protein
SGL_RS02370	chromosome	114874	115272	+	slr0730	slr0730	SGL_RS02370	RS02370	DUF3119 family protein
SGL_RS02375	chromosome	115269	116477	+	slr0731	slr0731	SGL_RS02375	RS02375	DUF3086 domain-containing protein
SGL_RS02380	chromosome	116518	117693	-	sll0704	sll0704	SGL_RS02380	RS02380	cysteine desulfurase
SGL_RS02385	chromosome	117869	118336	+	slr0732	slr0732	SGL_RS02385	RS02385	phosphate-starvation-inducible PsiE family protein
SGL_RS02390	chromosome	118333	119532	-	sll0703	sll0703	SGL_RS02390	RS02390	NAD(P)/FAD-dependent oxidoreductase
SGL_RS02395	chromosome	119570	119962	-	sll0702	sll0702	SGL_RS02395	RS02395	hypothetical protein
SGL_RS02400	chromosome	120298	120537	-	slr1006	slr1006	SGL_RS02400	RS02400 // ssl1328	hypothetical protein
NCR0060	chromosome	120557	120640	+	ncr0060	ncr0060	NA	NA	NCR0060-RNA
SGL_RS02405	chromosome	120719	121660	+	slr0733	slr0733	SGL_RS02405	RS02405	tyrosine-type recombinase/integrase
SGL_RS02410	chromosome	121706	121963	-	ssl1326	ssl1326	SGL_RS02410	RS02410	ribbon-helix-helix protein, CopG family
SGL_RS02415	chromosome	122287	123405	+	slr0734	slr0734	SGL_RS02415	RS02415	FAD-dependent oxidoreductase
SGL_RS18645	chromosome	123501	124079	-	sll0700	sll0700	SGL_RS18645	RS18645	IS630 family transposase
SGL_RS19745	chromosome	123989	124348	-	sll0699	sll0699	SGL_RS19745	RS19745	IS630 transposase-related protein
SGL_RS02430	chromosome	124452	126443	-	nblS	sll0698	SGL_RS02430	RS02430 // hik33 // dfr // dspA	histidine kinase NblS
SGL_RS02435	chromosome	126639	127064	+	psaD	slr0737	SGL_RS02435	RS02435	photosystem I reaction center subunit II
SGL_RS02440	chromosome	127186	128712	+	trpE	slr0738	SGL_RS02440	RS02440	anthranilate synthase component I
SGL_RS02445	chromosome	128802	129710	+	crtE	slr0739	SGL_RS02445	RS02445	geranylgeranyl diphosphate synthase
SGL_RS02450	chromosome	129791	130186	+	slr0740	slr0740	SGL_RS02450	RS02450	hypothetical protein
SLR0740-AS	chromosome	130042	130126	-	slr0740-as	slr0740-as	NA	NA	SLR0740-AS-RNA
SGL_RS02455	chromosome	130167	131039	-	sll0696	sll0696	SGL_RS02455	RS02455	CPBP family intramembrane metalloprotease
SLL0696-AS	chromosome	130861	130953	+	sll0696-as	sll0696-as	NA	NA	SLL0696-AS-RNA
SGL_RS02460	chromosome	131116	131790	+	sphU	slr0741	SGL_RS02460	RS02460 // phoU	phosphate signaling complex protein SphU
SGL_RS02465	chromosome	131952	132407	+	rimP	slr0742	SGL_RS02465	RS02465	ribosome maturation factor RimP
SLR0742-AS	chromosome	132371	132488	-	slr0742-as	slr0742-as	NA	NA	SLR0742-AS-RNA
SGL_RS02470	chromosome	132483	133859	+	nusA	slr0743	SGL_RS02470	RS02470	transcription termination factor NusA
SLR0743-AS	chromosome	133591	133632	-	slr0743-as	slr0743-as	NA	NA	SLR0743-AS-RNA
SGL_RS02475	chromosome	133923	134177	+	ssr1238	ssr1238	SGL_RS02475	RS02475 // slr0743a	YlxR family protein
SGL_RS02480	chromosome	134437	137442	+	infB	slr0744	SGL_RS02480	RS02480	translation initiation factor IF-2
SLR0744-AS	chromosome	135404	135468	-	slr0744-as	slr0744-as	NA	NA	SLR0744-AS-RNA
SLR0744-AS2	chromosome	136748	136919	-	infB	slr0744-as2	NA	NA	infB
SGL_RS02485	chromosome	137444	138112	+	slr0236	slr0236	SGL_RS02485	RS02485	glutathione <i>S</i>-transferase
SGL_RS20105	chromosome	138176	138301	-	ssl0431	ssl0431	SGL_RS20105	RS20105	hypothetical protein
SGL_RS02490	chromosome	138295	140535	+	glgX2	slr0237	SGL_RS02490	RS02490	glycogen debranching protein GlgX
SLR0237-AS	chromosome	139336	139375	-	slr0237-as	slr0237-as	NA	NA	SLR0237-AS-RNA
SGL_RS02495	chromosome	140585	141007	+	slr0238	slr0238	SGL_RS02495	RS02495	hypothetical protein
NCL0040	chromosome	141030	141060	-	ncl0040	ncl0040	NA	NA	NCL0040-RNA
SGL_RS02500	chromosome	141123	141428	-	ssl0426	ssl0426	SGL_RS02500	RS02500	transposase (inactive)
SGL_RS02505	chromosome	141648	142442	+	cobM/cbiF	slr0239	SGL_RS02505	RS02505	precorrin-4 C(11)-methyltransferase
SGL_RS02510	chromosome	142559	142981	+	slr0240	slr0240	SGL_RS02510	RS02510	BlaI/MecI/CopY family transcriptional regulator
SGL_RS02515	chromosome	142981	143826	+	slr0241	slr0241	SGL_RS02515	RS02515	M56 family metallopeptidase
NCR0070	chromosome	143881	143959	+	ncr0070	ncr0070	NA	NA	NCR0070-RNA
SGL_RS02520	chromosome	144061	144543	+	prxQ1	slr0242	SGL_RS02520	RS02520 // bcp	Q-type peroxiredoxin 1
SGL_RS02525	chromosome	144554	145081	+	slr0243	slr0243	SGL_RS02525	RS02525	hypothetical protein
SGL_RS02530	chromosome	145164	145529	-	sll0230	sll0230	SGL_RS02530	RS02530	MTH1187 family thiamine-binding protein
SLR0244-AS	chromosome	145698	145766	-	slr0244-as	slr0244-as	NA	NA	SLR0244-AS-RNA
SGL_RS02540	chromosome	145761	146615	+	slr0244	slr0244	SGL_RS02540	RS02540	universal stress protein
SGL_RS18650	chromosome	146724	146831	-	psbM	sml0003	SGL_RS18650	RS18650	photosystem II reaction center protein M
SGL_RS02545	chromosome	146980	147894	+	slr0245	slr0245	SGL_RS02545	RS02545	histone deacetylase
SGL_RS02550	chromosome	148022	148942	-	sll0228	sll0228	SGL_RS02550	RS02550	<em>N</em><small><sup>1</sup></small>-aminopropylagmatine ureohydrolase
SGL_RS02555	chromosome	148943	149683	-	ppiB	sll0227	SGL_RS02555	RS02555	peptidylprolyl isomerase
SLL0227-AS	chromosome	149521	149615	+	sll0227-as	sll0227-as	NA	NA	SLL0227-AS-RNA
SGL_RS02560	chromosome	149889	150455	-	ycf4	sll0226	SGL_RS02560	RS02560 // orf184	photosystem I assembly protein Ycf4
SLL0225-AS	chromosome	150533	150681	+	sll0225-as	sll0225-as	NA	NA	SLL0225-AS-RNA
SGL_RS02565	chromosome	150594	152072	-	sll0225	sll0225	SGL_RS02565	RS02565	GH3 auxin-responsive promoter family protein
SGL_RS02570	chromosome	152154	153050	-	sll0224	sll0224	SGL_RS02570	RS02570	amino acid ABC transporter substrate-binding protein
SLL0224-AS	chromosome	152682	152769	+	sll0224-as	sll0224-as	NA	NA	SLL0224-AS-RNA
NCR0075	chromosome	153165	153419	+	rnpB	ncr0075	NA	NA	rnpB
6803S01	chromosome	153166	153603	+	rnpB	6803s01	NA	NA	RNA subunit of RNase P
SGL_RS18395	chromosome	153167	153599	+	rnpB	SGL_RS18395	NA	RS18395	RNase P RNA component class A
SGL_RS02580	chromosome	153622	153996	+	slr0249	slr0249	SGL_RS02580	RS02580	DUF1818 family protein
SGL_RS02585	chromosome	154143	154679	+	slr0250	slr0250	SGL_RS02585	RS02585	LptA/OstA family protein
SGL_RS02590	chromosome	154703	155461	+	lptB	slr0251	SGL_RS02590	RS02590	LPS export ABC transporter ATP-binding protein
SGL_RS02595	chromosome	155473	156258	+	cobK/cbiJ	slr0252	SGL_RS02595	RS02595	precorrin-6A reductase
SGL_RS02600	chromosome	156391	156651	+	psaK1	ssr0390	SGL_RS02600	RS02600	photosystem I reaction center subunit PsaK 1
SGL_RS02605	chromosome	156741	157013	-	ssl0410	ssl0410	SGL_RS02605	RS02605	hypothetical protein
SGL_RS02610	chromosome	157050	158615	-	ndhB	sll0223	SGL_RS02610	RS02610	ferredoxin-plastoquinone oxidoreductase subunit B
SLL0223-AS	chromosome	158337	158502	+	sll0223-as	sll0223-as	NA	NA	SLL0223-AS-RNA
SGL_RS02615	chromosome	158757	159737	-	sll0222	sll0222	SGL_RS02615	RS02615	metallophosphoesterase
SGL_RS19540	chromosome	159812	159961	-	sgl0002	sgl0002	SGL_RS19540	RS19540	hypothetical protein
SGL_RS18655	chromosome	160004	160093	-	petN	sml0004	SGL_RS18655	RS18655	cytochrome <i>b</i><sub>6</sub><i>f</i> complex subunit PetN
SML0004-AS	chromosome	160094	160137	+	sml0004-as	sml0004-as	NA	NA	SML0004-AS-RNA
SGL_RS02620	chromosome	160258	161058	+	slr0254	slr0254	SGL_RS02620	RS02620	RDD family protein
SGL_RS02625	chromosome	161088	161642	-	prxQ2	sll0221	SGL_RS02625	RS02625	Q-type peroxiredoxin 2
SGL_RS02630	chromosome	161768	163663	-	glmS	sll0220	SGL_RS02630	RS02630	glutamine--fructose-6-phosphate transaminase (isomerizing)
SGL_RS02635	chromosome	164037	165821	-	flv2	sll0219	SGL_RS02635	RS02635	diflavin flavoprotein
SLL0219-AS	chromosome	165038	165135	+	sll0219-as	sll0219-as	NA	NA	SLL0219-AS-RNA
SGL_RS02640	chromosome	165871	166389	-	sll0218	sll0218	SGL_RS02640	RS02640	photosystem II chaperone
SGL_RS02645	chromosome	166416	168152	-	flv4	sll0217	SGL_RS02645	RS02645	diflavin flavoprotein
SLL0217-AS2	chromosome	166849	167095	+	sll0217-as2	sll0217-as2	NA	NA	SLL0217-AS2-RNA
SLL0217-AS	chromosome	167538	167755	+	sll0217-as	sll0217-as	NA	NA	SLL0217-AS-RNA
NCR0080	chromosome	168233	168515	+	ncr0080	ncr0080	NA	NA	NCR0080-RNA
SGL_RS02655	chromosome	168533	169921	+	ctpB	slr0257	SGL_RS02655	RS02655	carboxyl-terminal processing peptidase CtpB
SGL_RS02660	chromosome	169934	170566	-	sll0216	sll0216	SGL_RS02660	RS02660	L-threonylcarbamoyladenylate synthase
SGL_RS02665	chromosome	170572	171840	+	larC	slr1411	SGL_RS02665	RS02665	nickel pincer cofactor biosynthesis protein LarC
SGL_RS02670	chromosome	171939	172883	-	atpG	sll1327	SGL_RS02670	RS02670	ATP synthase F1, &gamma; subunit
SLL1326-AS	chromosome	173014	174525	-	atpA	sll1326	SGL_RS02675	RS02675	ATP synthase F1, &alpha; subunit
SGL_RS02675	chromosome	173865	173994	+	atpA	sll1326-as	NA	NA	atpA
SGL_RS02680	chromosome	174586	175143	-	atpH	sll1325	SGL_RS02680	RS02680	ATP synthase F1, &delta; subunit
SGL_RS02685	chromosome	175143	175682	-	atpF	sll1324	SGL_RS02685	RS02685	ATP synthase Fo, b subunit
SGL_RS02690	chromosome	175708	176139	-	atpF2	sll1323	SGL_RS02690	RS02690	ATP synthase Fo, b' subunit
SGL_RS02695	chromosome	176256	176501	-	atpE	ssl2615	SGL_RS02695	RS02695	ATP synthase Fo, c subunit
SGL_RS02700	chromosome	176693	177523	-	atpB	sll1322	SGL_RS02700	RS02700	ATP synthase Fo, a subunit
SGL_RS02705	chromosome	177592	178098	-	atpI	sll1321	SGL_RS02705	RS02705	ATP synthase accessory factor AtpI
SLL1321-AS	chromosome	177856	177974	+	sll1321-as	sll1321-as	NA	NA	SLL1321-AS-RNA
SLR1413-AS	chromosome	178185	178245	-	slr1413-as	slr1413-as	NA	NA	SLR1413-AS-RNA
SGL_RS02710	chromosome	178309	179682	+	slr1413	slr1413	SGL_RS02710	RS02710	50S ribosome-binding GTPase
SGL_RS02715	chromosome	179734	181047	+	hik11	slr1414	SGL_RS02715	RS02715	HAMP domain-containing sensor histidine kinase
SLR1414-AS	chromosome	179755	179816	-	slr1414-as	slr1414-as	NA	NA	SLR1414-AS-RNA
SGL_RS02720	chromosome	181097	182221	+	slr1415	slr1415	SGL_RS02720	RS02720	DUF4350 domain-containing protein
